ID,easting,northing
1,577354.9613,4418523.274
2,578239.4587,4418423.142
3,578055.8838,4417805.663
4,579635,4414751.644
5,581760.7595,4415052.039
6,581226.7233,4413499.996
7,580726.0644,4412131.529
8,580141.9624,4411630.87
9,579491.1059,4410896.57
10,579791.5012,4410095.516
11,579441.04,4409778.432
12,580675.9986,4409194.33
13,580559.1782,4407959.372
14,580108.5852,4407508.779
15,581143.2802,4406474.083
16,581543.8073,4405088.927
17,582728.7,4405472.766
18,583629.8859,4404755.155
19,583628.889,4402368.298
20,586767.3483,4399715.189
21,588102.4386,4398880.757
